UserID,Discord Username,Avatar,Name,Rank,Race,Class,Weapon,Wins,Losses,Ties
587278455356391436,Larold,<:pepehk:585596617281896455>,Uncle Larold,Pit Dog,Chimer,Spellsword,Spear + Destruction Magic,1,0,0
451499654392315905,Abelda,<:feelschim:408190780952543232>,Beans,Pit Dog,Mudcrab,Monk,Pincers,0,0,0
561169181001646081,scorn,<:angUr:407936962952167435>,Bendu,Pit Dog,Colovian,Barbarian,Spear,0,1,0
252984835360948235,「SHOVEL」Act4 Requiem Over Heaven,<:furcine:585596600022204427>,Shovel,Pit Dog,Breton,Barbarian,Lycanthrope,0,1,0
270785666470772000,CaptainCarrot,🐌,P'Kachoo,Pit Dog,Sload,Necromancer,Undead Summons,0,2,0
